,Outcome Measures,count,enrolled
769,MRI integrity|American Shoulder and Elbow Surgeons Standardized Shoulder Assessment Form (ASES)|University at California at Los Angeles Shouder Rating Scale (UCLA)|Visual Analog Scale for Pain (VAS),1,44
770,"Change of GFR|Incidence of Treatment-Serious Adverse Events as assessed by SPSS 23.0 and Graphpad prism 6|Number of participants with treatment-related adverse events as assessed by SPSS 23.0 and Graphpad prism 6|IgA|IgG|IgM|C3|C4|CRP|IL-6|Peripheral hemolymocyte subsets|Urine protein|Urine RBC|24-hour urine protein|Urine albumin/creatinine|Electrolytes|Hemoglobin|Albumin|Heart ultrasound|Carotid ultrasound|NT-proBNP|iPTH+1,25-VitD3",1,44
771,Macular holes closure|Best corrected visual acuity(BCVA),1,44
772,Number of patients alive without major amputation|Number of patients alive without critical limb ischemia|New vessels|Blood flow|Wound surface reduction|Ulcer healing|Pain reduction|Wound infection|Immuno measures in blood sample|Immuno measures in vitro,1,43
773,changes in myocardial metabolic activity|Changes in left ventricular ejection fraction (LVEF)|incidence of cardiovascular events|overall mortality|adverse events at 12 months after transplantation of autologous BM-MSCs,1,43
774,Rate of adverse event|Rate of serious adverse event|Rate of cure rate,1,43
775,Change of TCSS scale|Change of nerve conduction velocities in the lower extremity|Change of serum inflammatory factors|Change of growth factors (GF)|Change of fasting plasma glucose (FPG)|Change of glycosylated hemoglobin (HbA1c),1,42
776,Change in Islet Cell Function|Change in HbA1C levels from baseline to 12 months.|Proportion of insulin-independent patients following IAT|Average daily insulin requirement|Beta cell function as assessed by beta-score,1,42
777,Duration of hospital stay|Post-administration clinical and radiological improvement|Adverse Event and Serious Adverse Event Evaluation,1,42
778,Change in Kidney function|Safety of Mesenchymal stem cell infusion|Decrease in Kidney inflammation,1,42
779,Primary Endpoint for Phase I portion|Primary Endpoint for Phase IIa portion|Efficacy endpoint for phase I portion|Efficacy endpoints for phase IIa portion|The safety endpoints are listed below for both phase I and IIa portions,1,41
780,"Respiratory efficacy evaluated by the increase in PaO2/FiO2 ratio from baseline to day 7 in the experimental group compared with the placebo group|Lung injury score|Oxygenation index|In-hospital mortality|Mortality|Ventilator-free days|Number of days between randomization and the first day the patient meets weaning criteria o Number of days between randomization and the first day the patient meets PaO2/FiO2 > 200 (out of a prone positioning session)|Cumulative use of sedatives|Cumulative duration of use of sedatives|Cumulative duration of use of neuromuscular blocking agents (other than used for intubation)|Cumulative use of neuromuscular blocking agents (other than used for intubation)|ICU-acquired weakness and delirium|Treatment-induced toxicity rate and adverse events up to day 28|Quality of life at one year (EQ5D-3L quality of life questionnaire)|Measurements of plasmatic cytokines (IL1, IL6, IL8, TNF-alpha, IL10, TGF-beta, sRAGE, Ang2) level|Anti-HLA antibodies plasmatic dosage",1,47
781,"Inflammatory pattern of complement activation, biomarkers and complement-regulating proteins (CRegs)on leukocytes|inflammatory biomarkers, cell surface markers, apoptosis, functional polymorphisms, mesenchymal stem cells, severity of injury (ISS), infections, SIRS, sepsis, shock, organ dysfunctions, severity of disease, ICU length of stay, wound healing, mortality",1,48
782,Number of patients with adverse events|Change in Amyotrophic Lateral Sclerosis (ALS) Functional Rating Scale (ALS-FRS) slopes from the pre-transplantation period to the post-transplantation period between the treatment and placebo groups through 24 weeks post-transplantation.|Change in SVC slopes from the pre-transplantation period to the post-transplantation period between the treatment and placebo groups through 24 weeks post-transplantation,1,48
783,number of adverse events after infusion of MSC (hPPL)|Number of severe infections after MSC infusion|Response of acute GVHD|Determination of incidence of chronic GVHD|Survival,1,50
784,Avoiding arthroplasty|Harris Hip Score,1,52
785,Pain clinical relief|Functional disability index improvement|Work ability improvement|Measure pain relief of the patient|Measure functional disability index of the patient|Evaluate disability and quality of life evolution of the patient|Disability and quality of life evolution|Assess rescue painkillers medication|Structural assessment|Evaluation of cost|Incidence of Adverse Events (AE)|Assessment of vital signs|Evaluation of blood and urine analysis|Analysis of chemical biomarkers for tissue degeneration,1,52
786,Changes in Motor Performance.,1,50
787,Expanded Disability Status Scale (EDSS) Plus|Multiple sclerosis functional composite (MSFC)|Bladder function,1,50
788,endometrial thickness|ongoing pregnancy rate|live birth rate|endometrial blood flow,1,50
789,VAS score|Kellgren-Lawrence score,1,50
790,motor symptoms change|non-motor symptoms change|sleep quality change|daytime sleepiness change|signs of depression change,1,50
791,reduction of total prosthesis|Pain reduction|functional status,1,50
792,Incidence of treatment-emergent adverse events|Myocardial blood flow|Left ventricle ejection fraction (LVEF)|Infarct size|New York Heart Association (NYHA) Functional Classification|Canadian Cardiovascular Society (CCS) Angina Grading Scale,1,50
793,"Change in pain-free walking distance|Amputation-free survival period|Ulcer-free survival|Ulcer-extension free survival|Change in tissue oxygen/CO2 tension|An improvement of tissue perfusion|Change in transcutaneous pressure of O2|Change in ABI score|Quality of life improvement, assessed by SF-36 questionnaire",1,50
794,"The safety and tolerability of aMBMC intravenous administration during the six month study period as determined by major adverse events MACE endpoint|The change from baseline on physical exam conducted at 1, 3 and 6 months post-administration|LV end diastolic volume|LV end systolic volume|Infarct size measured by MRI, with contrast|Global Left Ventricular Ejection Fraction",1,50
795,Evaluation of the safety of a single IV infusion of allogeneic MPCs compared to placebo at 12 weeks post-infusion|Evaluation of the efficacy of a single intravenous infusion of allogeneic MPCs compared with placebo at 12 weeks post-infusion with MPCs or placebo in the treatment of patients with active RA|Evaluation of long-term safety and efficacy of a singly IV infusion of allogeneic MPCs in patients with active RA,1,48
796,Evaluation of safety related adverse ocular events including immune response|Ophthalmic examination for best-corrected visual acuity (BCVA) using early treatment of diabetic retinopathy study (ETDRS) chart|Measurement of electrical activity/function of retina using Electroretinography (ERG) test|Evaluation of outer retinal thickness using Optical Coherence Tomography (OCT) imaging test|Examination of retinal damage by Fundus Photography|Evaluation of visual field sensitivity using perimeter,1,50
797,change in cough test & urodynamic study as a measure of efficacy of treatment|Quality of life as measured by the Incontinence Quality of Life (I-QOL) Instrument Score,1,50
798,Recording of Adverse Events and Serious Adverse Events|International Knee Documentation Committee (IKDC) score|Knee Injury and Osteoarthritis Outcome Score (KOOS)|Visual Analog Score (VAS)|Magnetic resonance imaging (MRI)|Immunohistochemistry (IHC),1,50
799,"Safety|Complete and partial resolution of graft-vs-host disease (GVHD)|Cytokine levels, lymphocyte subsets, and donor-reactive lymphocyte numbers in patients with acute GVHD",1,49
800,"Number of adverse events as a measure of safety and tolerability of a single dose of FAB117-HC when administered by intramedullary injection into the injured spinal cord|Changes in neurological function using the International Standards for Neurological Classification of SCI (ISNCSCI) scale, examinations at 24h, 72h, 7d, 14d, 28d, 90d and 360 days after injection of FAB117-HC|Changes in the functional assessment of Spinal Cord Independence Measure (SCIM III)|Changes in Somatosensory-Evoked Potentials (SSEP) electrophysiological assessment test.|Changes in Motor-Evoked Potentials (MEP) electrophysiological assessment test",1,48
801,"Number and severity of all pre-specified infusion-associated events and the overall number and frequency of adverse events.|Glomerular filtration rate (GFR)|Urinary Albumin/Creatinine Ratio (ACR)|Urinary albumin excretion (UAE).|Fasting blood glucose (target <126mg/dL)|HbA1c (target <75mmol/mol or <9%)|Total cholesterol (target <200 mg/dl)|LDL cholesterol (target <100 mg/dl)|Triglycerides (target <170 mg/dl)|Arterial blood pressure (the target value <130/80 mmHg)|Quality of life|Anti-HLA antibody development|Inflammation and fibrosis related soluble mediators|Serum/plasma concentrations (pg/ml) of biomarkers of inflammation.|Serum/plasma concentrations (ng/ml) of biomarkers of CKD progression.|Urine concentrations (pg/ml adjusted to urine creatinine concentration) of biomarkers of inflammation.|Proportion/total number of circulating T cells, B cells, NK cells, monocytes, dendritic cells|Cost-effectiveness of cell therapy",1,48
802,Safety Assessment|Neurological efficacy|EDSS score|Ambulation score|Functional scores|Single injection vs. repeated MSCs injection|Relapse rate|T2-weighted flair lesions load in MRI|Total brain volume in MRI|Gadolinium enhancing lesions in MRI|Functional MRI|25-feet timed walking|9-hole peg test|Paced Auditory Serial Addition Test (PASAT)|Cognitive function: Controlled Oral Word Association Test (COWAT)|Optical coherence tomography (OCT)|Immunology,1,48
803,Change in patients clinical manifestation|Need for a ventilator|Duration of using a ventilator|Length of stay|Routine blood profile|CRP|D-dimer|Blood Gas Analisis (BGA)|Photo thorax|Survival,1,48
804,Composite endpoint|Clinical status evaluation assessed by the 9-point ordinal scale|Survival|Time to clinical improvement assessed by the 9-point ordinal scale|Duration of hospitalization and ICU stay,1,48
805,Adverse events and serious adverse events|National Institutes of Health Stroke Scale (NIHSS) score|Functional Independence Measure (FIM) score|Modified Ashworth Scale|Fine motor skills (FMI) score|Short Form 36 items (SF-36) score,1,48
806,Assessment of inflamation marker levels|Assessment of clinical outcome|Assessment of laboratory routine|Assessment of photo thorax|Assessment of RT-PCR conversion|Mortality rate,1,40
807,Magnetic resonance angiography,1,40
808,"Protocol 260 - Response by Day 28, also called Overall Response (OR). OR includes complete response (CR) and partial response (PR)|Protocol 261-The incidence rate of different adverse events among participants treated with either dose of Prochymal® in the preceding study (Protocol No. 260).|Protocol 260 - Partial Response or Improvement of GVHD by Day 28 in one or more organs involved with GVHD symptoms at Day 1,|Protocol 260 - Time to best response of GVHD|Protocol 260 - Time to improvement of GVHD in one or more organs|Protocol 261 - Survival through study day 90",1,32
